Adj_Close_Uber,Adj_Close_Market,rf_rate,MRP,URP
34.459999,319.331451,0,,
37.720001,324.29541,0,0.015544848,0.094602498
37.27,336.933502,0,0.038970925,-0.011930037
33.720001,337.360901,0,0.001268497,-0.095250845
36.75,335.894012,0,-0.00434813,0.089857619
33.41,317.204102,0,-0.055642284,-0.090884354
44.869999,340.148834,0,0.072334285,0.343011045
47.610001,347.861816,0,0.022675315,0.061065346
48.43,345.17099,0,-0.00773533,0.017223251
50.720001,353.272552,0,0.023471156,0.047284762
54.860001,359.275879,0,0.016993471,0.081624604
52.630001,355.827362,0,-0.009598521,-0.040648924
50.619999,358.625031,0,0.007862434,-0.038191183
52.880001,359.978119,0,0.003772988,0.044646425
51,364.738831,0,0.013225004,-0.035552212
53.279999,371.938385,0,0.019738929,0.044705863
55.52,366.514313,0,-0.014583254,0.042042062
54.310001,373.518768,0,0.019111,-0.02179393
50.93,361.022003,0,-0.03345686,-0.062235333
58.580002,378.230682,0,0.047666566,0.150206205
60.630001,383.040192,0,0.012715811,0.034994861
58.389999,380.493988,0,-0.006647355,-0.036945439
51.75,371.060394,0,-0.024793017,-0.113718087
55.540001,374.250458,0,0.008597156,0.073236734
60.349998,384.425415,0,0.027187561,0.086604194
57.080002,379.957458,0,-0.011622429,-0.054183863
54.709999,387.56369,0,0.020018641,-0.041520724
57.599998,392.095245,0,0.011692414,0.052823964
57.68,402.744019,0,0.027158641,0.001388924
60.349998,408.391357,0,0.014022152,0.04628984
57.93,407.882416,0,-0.001246209,-0.040099388
54.77,408.430542,0,0.001343833,-0.054548593
47.029999,413.148132,0,0.011550532,-0.141318258
47.419998,407.725861,0,-0.013124278,0.008292558
48.82,406.120728,0,-0.003936795,0.029523451
50.830002,411.112335,0,0.012290944,0.041171692
50.18,413.61792,0,0.006094648,-0.012787763
50.009998,415.291534,0,0.00404628,-0.003387844
49.700001,406.101166,0,-0.022129919,-0.006198701
51.73,418.908661,0,0.031537696,0.040845049
51.709999,425.89035,0,0.016666375,-0.000386642
49.07,427.657837,0,0.004150099,-0.051053936
46.189999,423.553314,0,-0.00959768,-0.058691685
47.459999,431.998077,0,0.019937899,0.027495129
43.459999,430.593872,0,-0.003250489,-0.084281502
44.279999,434.502014,0,0.009076167,0.018867925
42.220001,437.870148,0,0.007751711,-0.046522088
39.950001,435.356293,0,-0.005741097,-0.053765986
40.689999,442.121948,0,0.015540501,0.018523103
40.32,444.900818,0,0.006285302,-0.009093119
39.889999,437.398804,0,-0.016862217,-0.010664707
39.75,433.431671,0,-0.00906983,-0.003509627
46.630001,437.292877,0,0.008908454,0.173081786
47.049999,427.766998,0,-0.021783751,0.009007034
47.77,431.333008,0,0.008336337,0.015302891
48.360001,439.223633,0,0.01829358,0.012350869
45.509998,446.365601,0,0.016260437,-0.058933063
43.82,452.404205,0,0.013528381,-0.037134653
47.189999,461.545868,0,0.020206848,0.0769055
45.119999,460.304626,0,-0.002689315,-0.043865227
44.23,461.900513,0,0.003467024,-0.019725156
40.52,452.128357,0,-0.021156409,-0.08387972
35.849998,446.661133,0,-0.012092194,-0.115251777
36.669998,463.7229,0,0.038198459,0.022873084
39.68,453.014954,0,-0.02309126,0.082083506
43.91,465.213715,0,0.026927943,0.106602823
41.93,469.523773,0,0.009264684,-0.045092234
41.509998,460.755341,0,-0.018675161,-0.010016742
41.509998,459.401001,0,-0.002939391,0
35.939999,432.967041,0,-0.057540057,-0.134184516
35.209999,436.891632,0,0.009064411,-0.020311631
37.049999,443.564362,0,0.015273193,0.052257883
35.290001,435.41864,0,-0.018364239,-0.047503321
34.68,429.259979,0,-0.014144229,-0.017285378
34.98,432.739685,0,0.00810629,0.008650519
29.83,427.223541,0,-0.012747026,-0.147226987
30.76,415.262054,0,-0.027998193,0.031176668
33.360001,439.43219,0,0.058204538,0.08452539
34.060001,448.898926,0,0.02154311,0.020983213
35.98,449.127014,0,0.000508105,0.056371079
32.049999,443.821808,0,-0.011812262,-0.109227376
32.68,434.123718,0,-0.021851315,0.019656818
30.83,422.472107,0,-0.026839379,-0.056609547
31.48,408.549683,0,-0.032954658,0.02108336
26.07,407.895203,0,-0.001601959,-0.171855146
24.389999,398.355774,0,-0.02338696,-0.064441926
23.35,386.367035,0,-0.030095557,-0.042640387
23.67,411.782379,0,0.065780312,0.013704497
24.15,407.101929,0,-0.011366319,0.020278834
23.719999,386.535583,0,-0.050518911,-0.017805424
21.809999,362.796082,0,-0.061416082,-0.080522769
23.030001,388.484161,0,0.070805834,0.055937738
21.34,379.680328,0,-0.022662013,-0.073382585
22.34,387.079956,0,0.0194891,0.046860356
21.67,383.554443,0,-0.009107971,-0.029991047
23.299999,393.473663,0,0.025861309,0.075219151
23.450001,410.304535,0,0.042775092,0.006437854
32.009998,411.778473,0,0.003592302,0.365031839
32.470001,425.352722,0,0.032964931,0.014370604
29.01,420.413025,0,-0.011613178,-0.106559929
28.58,403.651855,0,-0.039868341,-0.014822475
29.049999,390.635315,0,-0.032246947,0.016445031
31.780001,404.936584,0,0.036610282,0.093975976
31.93,383.982666,0,-0.051746172,0.004719918
27.82,367.950012,0,-0.041753588,-0.128719073
26.5,357.179993,0,-0.029270332,-0.047447879
28.07,362.790009,0,0.015706412,0.059245283
24.709999,357.630005,0,-0.014223115,-0.119700784
28.02,374.290009,0,0.046584469,0.133953911
28.02,374.290009,0,0,0