#,Company,Symbol,Weight,Price,Chg,% Chg
253,Fastenal Company,FAST,0.085944,47.1,-1.73,(-3.54%)
254,Baxter International Inc.,BAX,0.083372,52.27,-1.47,(-2.74%)
255,State Street Corporation,STT,0.083343,73.88,-0.52,(-0.70%)
256,Republic Services Inc.,RSG,0.08327,130.99,-0.19,(-0.14%)
257,W.W. Grainger Inc.,GWW,0.082952,583.98,-8.72,(-1.47%)
258,PPG Industries Inc.,PPG,0.082803,110.08,-3.92,(-3.44%)
259,ON Semiconductor Corporation,ON,0.082645,60.28,-1.46,(-2.36%)
260,Eversource Energy,ES,0.082408,76.24,-0.74,(-0.96%)
261,ONEOK Inc.,OKE,0.081997,59.06,-1,(-1.67%)
262,Walgreens Boots Alliance Inc.,WBA,0.079711,35.91,-0.35,(-0.97%)
263,Gartner Inc.,IT,0.079454,319.49,-5.51,(-1.70%)
264,American Water Works Company Inc.,AWK,0.078873,138.16,-3.68,(-2.59%)
265,Genuine Parts Company,GPC,0.078585,175,-4.25,(-2.37%)
266,HP Inc.,HPQ,0.078323,27.1,-0.75,(-2.69%)
267,Old Dominion Freight Line Inc.,ODFL,0.077231,260.48,-12.39,(-4.54%)
268,Corning Inc,GLW,0.076265,32.08,-0.48,(-1.47%)
269,Aptiv PLC,APTV,0.075876,87,-4.59,(-5.01%)
270,Tractor Supply Company,TSCO,0.075647,211.41,-9.12,(-4.14%)
271,D.R. Horton Inc.,DHI,0.075581,75.1,-2.27,(-2.93%)
272,Coterra Energy Inc.,CTRA,0.075522,30.9,0.15,(0.49%)
273,Copart Inc.,CPRT,0.075356,111.99,-3.11,(-2.70%)
274,PG&E Corporation,PCG,0.075179,15.04,-0.27,(-1.76%)
275,Willis Towers Watson Public Limited Company,WTW,0.07509,220.13,-1.07,(-0.48%)
276,AmerisourceBergen Corporation,ABC,0.075083,155.27,-1.05,(-0.67%)
277,Fifth Third Bancorp,FITB,0.07507,34.91,-0.89,(-2.49%)
278,AvalonBay Communities Inc.,AVB,0.074963,171.76,-3.53,(-2.01%)
279,International Flavors & Fragrances Inc.,IFF,0.074535,94.26,-1.19,(-1.25%)
280,T. Rowe Price Group,TROW,0.074332,108.05,1.36,(1.27%)
281,Hartford Financial Services Group Inc.,HIG,0.073635,65.96,-7.79,(-10.56%)
282,Extra Space Storage Inc.,EXR,0.072894,155.01,-22.88,(-12.86%)
283,CBRE Group Inc. Class A,CBRE,0.072197,69.85,-2.93,(-4.03%)
284,CDW Corp.,CDW,0.071804,172.4,-0.18,(-0.10%)
285,Zimmer Biomet Holdings Inc.,ZBH,0.071517,107.69,-4.15,(-3.71%)
286,Raymond James Financial Inc.,RJF,0.070554,117.38,-0.43,(-0.36%)
287,Edison International,EIX,0.07038,58.76,-1.75,(-2.89%)
288,Fortive Corp.,FTV,0.070146,62.25,-1.69,(-2.64%)
289,Weyerhaeuser Company,WY,0.069728,29.66,-0.73,(-2.40%)
290,United Rentals Inc.,URI,0.069416,310,-11.2,(-3.49%)
291,First Republic Bank,FRC,0.067944,115.75,-4.6,(-3.82%)
292,Ulta Beauty Inc.,ULTA,0.067913,408.5,-13.5,(-3.20%)
293,Entergy Corporation,ETR,0.067865,108.76,0.44,(0.41%)
294,Huntington Bancshares Incorporated,HBAN,0.06778,14.98,-0.3,(-1.96%)
295,eBay Inc.,EBAY,0.067593,40.95,1.14,(2.86%)
296,Vulcan Materials Company,VMC,0.066978,162,-2.79,(-1.69%)
297,Southwest Airlines Co.,LUV,0.06694,36.4,-0.54,(-1.46%)
298,DTE Energy Company,DTE,0.06679,111.5,-1.03,(-0.92%)
299,CF Industries Holdings Inc.,CF,0.066377,103.17,-4.63,(-4.29%)
300,Alexandria Real Estate Equities Inc.,ARE,0.066242,142.38,-2.38,(-1.64%)
301,Equity Residential,EQR,0.065979,61.85,-1.4,(-2.21%)
302,Delta Air Lines Inc.,DAL,0.065911,32.06,-1.57,(-4.67%)
303,Nasdaq Inc.,NDAQ,0.065322,62.32,-0.03,(-0.05%)
304,Regions Financial Corporation,RF,0.064862,21.8,-0.5,(-2.24%)
305,Ameren Corporation,AEE,0.064787,84.53,2.41,(2.93%)
306,Marathon Oil Corporation,MRO,0.064763,29.97,-0.96,(-3.10%)
307,FirstEnergy Corp.,FE,0.064453,37.98,-0.44,(-1.15%)
308,Lennar Corporation Class A,LEN,0.064325,79.67,-1.95,(-2.39%)
309,Molina Healthcare Inc.,MOH,0.063975,347.75,-8.22,(-2.31%)
310,Martin Marietta Materials Inc.,MLM,0.063884,326.24,-8.09,(-2.42%)
311,Cardinal Health Inc.,CAH,0.063474,74.74,-0.65,(-0.86%)
312,Principal Financial Group Inc.,PFG,0.063199,86.79,-1.53,(-1.73%)
313,Equifax Inc.,EFX,0.063078,161.86,-7.13,(-4.22%)
314,Ingersoll Rand Inc.,IR,0.062388,51,0.7,(1.39%)
315,Quanta Services Inc.,PWR,0.062323,136.78,-5.49,(-3.86%)
316,Arch Capital Group Ltd.,ACGL,0.062314,56.22,0.78,(1.41%)
317,Laboratory Corporation of America Holdings,LH,0.062208,224.58,2.02,(0.91%)
318,LyondellBasell Industries NV,LYB,0.061705,78,-0.47,(-0.60%)
319,Citizens Financial Group Inc.,CFG,0.061486,39.41,-1.03,(-2.55%)
320,Tyson Foods Inc. Class A,TSN,0.061352,67.3,-0.7,(-1.03%)
321,EPAM Systems Inc.,EPAM,0.060671,329,-13.24,(-3.87%)
322,PPL Corporation,PPL,0.060384,26.17,-0.4,(-1.51%)
323,McCormick & Company Incorporated,MKC,0.059966,77,-1.59,(-2.02%)
324,Kellogg Company,K,0.059126,75.82,-0.17,(-0.22%)
325,ANSYS Inc.,ANSS,0.058513,210.18,-9.06,(-4.13%)
326,Dover Corporation,DOV,0.058482,121.25,-11.45,(-8.63%)
327,Xylem Inc.,XYL,0.05825,104.27,-1.27,(-1.20%)
328,Mosaic Company,MOS,0.058103,51.79,-2.66,(-4.89%)
329,Hewlett Packard Enterprise Co.,HPE,0.057431,14.03,-0.33,(-2.30%)
330,Teledyne Technologies Incorporated,TDY,0.057416,390.68,-10.28,(-2.56%)
331,Hologic Inc.,HOLX,0.057411,74.25,0.12,(0.16%)
332,Waters Corporation,WAT,0.056834,295.74,-11.7,(-3.81%)
333,VeriSign Inc.,VRSN,0.056792,186.61,-10.36,(-5.26%)
334,Invitation Homes Inc.,INVH,0.056709,32.6,0.95,(3.00%)
335,Take-Two Interactive Software Inc.,TTWO,0.056446,114.1,-2.21,(-1.90%)
336,Mid-America Apartment Communities Inc.,MAA,0.05558,153.71,-3.84,(-2.44%)
337,Clorox Company,CLX,0.055172,137.59,-9.08,(-6.19%)
338,Church & Dwight Co. Inc.,CHD,0.05512,72.47,-1.17,(-1.59%)
339,CenterPoint Energy Inc.,CNP,0.054708,28.05,-0.3,(-1.06%)
340,Darden Restaurants Inc.,DRI,0.054199,139.99,-3.05,(-2.13%)
341,Northern Trust Corporation,NTRS,0.054067,84.38,-0.34,(-0.40%)
342,Amcor PLC,AMCR,0.053862,11.01,-0.58,(-5.00%)
343,AES Corporation,AES,0.05376,25.83,-0.51,(-1.94%)
344,Conagra Brands Inc.,CAG,0.05345,35.91,-0.43,(-1.18%)
345,Synchrony Financial,SYF,0.053446,34.94,-0.96,(-2.67%)
346,Broadridge Financial Solutions Inc.,BR,0.053194,137.73,-11.87,(-7.93%)
347,STERIS Plc,STE,0.053183,165.95,-6.92,(-4.00%)
348,PerkinElmer Inc.,PKI,0.052904,130.12,-6.45,(-4.72%)
349,Westinghouse Air Brake Technologies Corporation,WAB,0.052703,90.45,-3.31,(-3.53%)
350,ABIOMED Inc.,ABMD,0.052513,373.71,-4.11,(-1.09%)
351,West Pharmaceutical Services Inc.,WST,0.051978,219.53,-9.97,(-4.34%)
352,IDEX Corporation,IEX,0.051977,218.42,-4.95,(-2.22%)
353,KeyCorp,KEY,0.051533,17.82,-0.23,(-1.27%)
354,Quest Diagnostics Incorporated,DGX,0.051397,140.48,-2.3,(-1.61%)
355,CMS Energy Corporation,CMS,0.051003,57.04,-0.27,(-0.47%)
356,Paycom Software Inc.,PAYC,0.050508,312.2,-30.51,(-8.90%)
357,Expeditors International of Washington Inc.,EXPD,0.04996,93.31,-5.53,(-5.59%)
358,J.M. Smucker Company,SJM,0.049491,149.26,-0.05,(-0.03%)
359,FactSet Research Systems Inc.,FDS,0.049453,415.26,-10.99,(-2.58%)
360,Cincinnati Financial Corporation,CINF,0.048802,99.05,-0.17,(-0.17%)
361,NetApp Inc.,NTAP,0.048709,68.87,-2.15,(-3.03%)
362,Ball Corporation,BALL,0.048036,47.53,-1.93,(-3.90%)
363,Monolithic Power Systems Inc.,MPWR,0.047887,332.54,-16.34,(-4.68%)
364,Targa Resources Corp.,TRGP,0.047822,67,-1.5,(-2.19%)
365,W. R. Berkley Corporation,WRB,0.047477,74.33,-0.96,(-1.28%)
366,Ventas Inc.,VTR,0.047043,37.37,-1.04,(-2.71%)
367,FMC Corporation,FMC,0.046557,119.87,0.29,(0.24%)
368,Omnicom Group Inc,OMC,0.046226,71.63,-1.47,(-2.01%)
369,APA Corp.,APA,0.046193,44.35,-1.44,(-3.14%)
370,Trimble Inc.,TRMB,0.046103,53.65,-6.24,(-10.42%)
371,EQT Corporation,EQT,0.045978,40.54,-0.21,(-0.52%)
372,Jacobs Solutions Inc.,J,0.045623,113.12,-1.36,(-1.19%)
373,Atmos Energy Corporation,ATO,0.045539,105.55,-0.72,(-0.68%)
374,Jack Henry & Associates Inc.,JKHY,0.045453,191.5,-9.74,(-4.84%)
375,Textron Inc.,TXT,0.044768,67.2,-1.31,(-1.91%)
376,Iron Mountain Inc.,IRM,0.044673,49.95,-0.26,(-0.52%)
377,J.B. Hunt Transport Services Inc.,JBHT,0.044416,170.73,-1.89,(-1.09%)
378,Incyte Corporation,INCY,0.044296,77.15,0.2,(0.26%)
379,Expedia Group Inc.,EXPE,0.044186,92.5,-3.16,(-3.30%)
380,Essex Property Trust Inc.,ESS,0.044112,216.32,-5.07,(-2.29%)
381,Leidos Holdings Inc.,LDOS,0.04365,104.36,0.81,(0.78%)
382,Align Technology Inc.,ALGN,0.043412,179.89,-13.17,(-6.82%)
383,FLEETCOR Technologies Inc.,FLT,0.043234,178.28,-8.36,(-4.48%)
384,Akamai Technologies Inc.,AKAM,0.043233,87.24,-0.86,(-0.98%)
385,LKQ Corporation,LKQ,0.043086,52.14,-1.36,(-2.54%)
386,Best Buy Co. Inc.,BBY,0.042947,66.5,-2.38,(-3.46%)
387,Evergy Inc.,EVRG,0.04286,60.77,-0.39,(-0.64%)
388,Skyworks Solutions Inc.,SWKS,0.042804,82.51,-3.91,(-4.52%)
389,Avery Dennison Corporation,AVY,0.042801,165.5,-3.28,(-1.94%)
390,Cooper Companies Inc.,COO,0.042056,270.43,-8.57,(-3.07%)
391,United Airlines Holdings Inc.,UAL,0.042,41.15,-1.51,(-3.54%)
392,Brown & Brown Inc.,BRO,0.041989,56.9,-1.75,(-2.98%)
393,Garmin Ltd.,GRMN,0.041741,84.72,-2.85,(-3.25%)
394,Howmet Aerospace Inc.,HWM,0.041646,35.34,-1.15,(-3.15%)
395,Cboe Global Markets Inc,CBOE,0.041583,126.1,-1.26,(-0.99%)
396,Hormel Foods Corporation,HRL,0.041541,46.31,-0.14,(-0.30%)
397,SVB Financial Group,SIVB,0.041115,212.51,-16.47,(-7.19%)
398,Host Hotels & Resorts Inc.,HST,0.041052,18.3,-0.56,(-2.97%)
399,NortonLifeLock Inc.,NLOK,0.040904,22.76,-0.2,(-0.87%)
400,Kimco Realty Corporation,KIM,0.040789,20.83,-0.69,(-3.21%)
401,NVR Inc.,NVR,0.040651,4129.72,-119.57,(-2.81%)
402,Alliant Energy Corp,LNT,0.040339,51.77,-0.86,(-1.63%)
403,Teradyne Inc.,TER,0.039844,79.47,-2.75,(-3.34%)
404,Tyler Technologies Inc.,TYL,0.03941,298,-16.24,(-5.17%)
405,Healthpeak Properties Inc.,PEAK,0.039283,23.65,-0.15,(-0.63%)
406,Las Vegas Sands Corp.,LVS,0.039239,38.35,-0.29,(-0.75%)
407,Everest Re Group Ltd.,RE,0.038528,321.87,5.84,(1.85%)
408,SolarEdge Technologies Inc.,SEDG,0.038446,220.17,-5.08,(-2.26%)
409,PTC Inc.,PTC,0.03829,120,1.98,(1.68%)
410,Lamb Weston Holdings Inc.,LW,0.038265,86.17,-0.01,(-0.01%)
411,Zebra Technologies Corporation Class A,ZBRA,0.038139,234.23,-4.07,(-1.71%)
412,Match Group Inc.,MTCH,0.03812,45.75,1.85,(4.21%)
413,Viatris Inc.,VTRS,0.037955,10.04,-0.21,(-2.05%)
414,Camden Property Trust,CPT,0.03787,111.89,-3.51,(-3.04%)
415,Brown-Forman Corporation Class B,BF.B,0.037724,66.44,-1,(-1.48%)
416,Nordson Corporation,NDSN,0.037636,221.35,-4.4,(-1.95%)
417,Pool Corporation,POOL,0.037475,294.61,-11.12,(-3.64%)
418,International Paper Company,IP,0.037471,32.86,-0.67,(-2.00%)
419,C.H. Robinson Worldwide Inc.,CHRW,0.037443,87.99,-9.85,(-10.07%)
420,Domino's Pizza Inc.,DPZ,0.03694,339.03,5.59,(1.68%)
421,Bio-Techne Corporation,TECH,0.036842,297.95,-11.34,(-3.67%)
422,UDR Inc.,UDR,0.036665,38.84,-1,(-2.51%)
423,Snap-on Incorporated,SNA,0.036661,220.03,-1.84,(-0.83%)
424,MGM Resorts International,MGM,0.036234,33.4,-2.54,(-7.07%)
425,Interpublic Group of Companies Inc.,IPG,0.035934,29.08,-0.74,(-2.48%)
426,Royal Caribbean Group,RCL,0.035774,50,-1.98,(-3.81%)
427,Etsy Inc.,ETSY,0.035553,96.25,4.82,(5.27%)
428,Advance Auto Parts Inc.,AAP,0.035432,186.87,-2.41,(-1.27%)
429,Packaging Corporation of America,PKG,0.035075,118.8,-1.79,(-1.48%)
430,Stanley Black & Decker Inc.,SWK,0.034948,73.5,-3.09,(-4.03%)
431,Live Nation Entertainment Inc.,LYV,0.034871,76.93,-2.5,(-3.15%)
432,Western Digital Corporation,WDC,0.034325,34.51,-1.19,(-3.32%)
433,Loews Corporation,L,0.034076,55.51,-0.98,(-1.73%)
434,Campbell Soup Company,CPB,0.03288,52.07,-0.5,(-0.95%)
435,NiSource Inc,NI,0.032294,25.62,-0.21,(-0.81%)
436,CarMax Inc.,KMX,0.032066,64.6,0.25,(0.39%)
437,NRG Energy Inc.,NRG,0.031999,43.37,-0.66,(-1.50%)
438,Globe Life Inc.,GL,0.031946,112.26,-1.94,(-1.70%)
439,Charles River Laboratories International Inc.,CRL,0.031901,215.75,8.46,(4.08%)
440,Masco Corporation,MAS,0.031826,44.12,-1.54,(-3.37%)
441,Huntington Ingalls Industries Inc.,HII,0.03158,253.78,-3.06,(-1.19%)
442,Boston Properties Inc.,BXP,0.031409,71.24,-0.96,(-1.33%)
443,Teleflex Incorporated,TFX,0.031396,208.4,-10.84,(-4.94%)
444,Seagate Technology Holdings PLC,STX,0.031356,49.71,-1.32,(-2.59%)
445,Ceridian HCM Holding Inc.,CDAY,0.030964,62.08,-3.37,(-5.15%)
446,Signature Bank,SBNY,0.030841,151.47,-8.54,(-5.34%)
447,Juniper Networks Inc.,JNPR,0.030765,30.11,-0.8,(-2.59%)
448,Henry Schein Inc.,HSIC,0.030656,69.68,-2.06,(-2.87%)
449,Celanese Corporation,CE,0.030296,94,-4.36,(-4.43%)
450,Eastman Chemical Company,EMN,0.029936,79.77,0.89,(1.13%)
451,Paramount Global Class B,PARA,0.029913,16.92,-2.25,(-11.74%)
452,Allegion Public Limited Company,ALLE,0.029244,102.01,-4.55,(-4.27%)
453,Caesars Entertainment Inc,CZR,0.029167,43.67,-0.72,(-1.62%)
454,Regency Centers Corporation,REG,0.028988,60.51,-1.41,(-2.28%)
455,Fox Corporation Class A,FOXA,0.028923,30.04,-0.49,(-1.60%)
456,Rollins Inc.,ROL,0.028883,41.87,-0.33,(-0.78%)
457,Comerica Incorporated,CMA,0.028607,67.79,-2.54,(-3.61%)
458,PulteGroup Inc.,PHM,0.028443,38.47,-1.33,(-3.34%)
459,V.F. Corporation,VFC,0.028401,28.79,0.16,(0.56%)
460,Molson Coors Beverage Company Class B,TAP,0.028335,49.34,0.53,(1.09%)
461,American Airlines Group Inc.,AAL,0.027949,13.55,-0.56,(-3.97%)
462,MarketAxess Holdings Inc.,MKTX,0.027725,232.09,-6.48,(-2.72%)
463,Qorvo Inc.,QRVO,0.027593,85.15,-1.36,(-1.57%)
464,BorgWarner Inc.,BWA,0.027479,36.34,-0.97,(-2.60%)
465,Catalent Inc,CTLT,0.027259,44.9,-4.63,(-9.35%)
466,Carnival Corporation,CCL,0.027216,8.65,-0.4,(-4.42%)
467,WestRock Company,WRK,0.026734,33.57,-0.48,(-1.41%)
468,F5 Inc.,FFIV,0.026572,139,-5.54,(-3.83%)
469,Robert Half International Inc.,RHI,0.026316,76.01,-1.32,(-1.71%)
470,Lincoln National Corporation,LNC,0.025835,42.9,-11.06,(-20.50%)
471,Hasbro Inc.,HAS,0.025642,62.91,-2.14,(-3.29%)
472,Tapestry Inc.,TPR,0.025012,35.97,3.81,(11.85%)
473,Universal Health Services Inc. Class B,UHS,0.024232,113.13,-4.19,(-3.57%)
474,Bath & Body Works Inc.,BBWI,0.024073,32.68,-1.48,(-4.33%)
475,Zions Bancorporation N.A.,ZION,0.024038,49.49,-2.12,(-4.11%)
476,Fortune Brands Home & Security Inc.,FBHS,0.023995,57.64,-2.4,(-4.00%)
477,Whirlpool Corporation,WHR,0.023733,131.9,-5.47,(-3.98%)
478,Bio-Rad Laboratories Inc. Class A,BIO,0.02361,356.02,-2.33,(-0.65%)
479,Pinnacle West Capital Corporation,PNW,0.02356,67.29,-0.52,(-0.77%)
480,A. O. Smith Corporation,AOS,0.022229,53.7,-0.9,(-1.65%)
481,Generac Holdings Inc.,GNRC,0.022183,106.98,-7.72,(-6.73%)
482,Assurant Inc.,AIZ,0.022168,131.02,-3.68,(-2.73%)
483,Wynn Resorts Limited,WYNN,0.021993,67.79,-0.07,(-0.10%)
484,Invesco Ltd.,IVZ,0.021873,15.43,-0.13,(-0.84%)
485,Federal Realty Investment Trust,FRT,0.021679,99.17,-1.63,(-1.62%)
486,Norwegian Cruise Line Holdings Ltd.,NCLH,0.021526,16.35,-0.44,(-2.62%)
487,Pentair plc,PNR,0.021516,40.39,-2.01,(-4.74%)
488,Lumen Technologies Inc.,LUMN,0.021038,6.05,-1.38,(-18.57%)
489,DENTSPLY SIRONA Inc.,XRAY,0.020733,28.6,-2.4,(-7.74%)
490,Organon & Co.,OGN,0.020592,25.93,-0.46,(-1.74%)
491,News Corporation Class A,NWSA,0.020473,16.47,-0.52,(-3.06%)
492,DXC Technology Co.,DXC,0.020468,28.16,-0.66,(-2.29%)
493,Sealed Air Corporation,SEE,0.020367,42.42,-2,(-4.50%)
494,Franklin Resources Inc.,BEN,0.019056,23,0.4,(1.77%)
495,Alaska Air Group Inc.,ALK,0.017062,44.75,0.23,(0.52%)
496,Newell Brands Inc,NWL,0.015573,13.09,-0.27,(-2.02%)
497,Mohawk Industries Inc.,MHK,0.015098,91,-4.09,(-4.30%)
498,Fox Corporation Class B,FOX,0.012955,28.17,-0.44,(-1.54%)
499,Ralph Lauren Corporation Class A,RL,0.01239,90.12,-3.39,(-3.63%)
500,DaVita Inc.,DVA,0.012026,69.76,-0.11,(-0.16%)
501,DISH Network Corporation Class A,DISH,0.0115,15,-0.06,(-0.40%)
502,Vornado Realty Trust,VNO,0.011233,22.85,-0.34,(-1.47%)
503,News Corporation Class B,NWS,0.006505,16.72,-0.5,(-2.90%)
